N§rªšÚºŠrª‚j																							
0.74	4.87	23.58	50.98	1275.00	12.00	55.41	2.22	11.00	-4.00	0.00	1.00	0.00	0.00	0.00	1.00	13.40	14.60	0.00	0.00	0.00	1.39	1.58	71.46
0.76	5.62	20.76	50.98	1400.00	16.00	55.41	3.89	12.00	-4.00	0.00	1.00	0.00	0.00	0.00	0.00	13.40	14.60	0.00	0.00	0.00	1.54	1.59	71.46
0.78	5.37	22.17	50.98	1450.00	16.00	55.41	3.89	14.00	-4.00	0.00	1.00	0.00	0.00	0.00	1.00	13.40	14.60	0.00	0.00	0.00	1.65	1.58	71.45
0.80	4.87	23.11	50.98	1250.00	14.00	55.41	3.33	15.00	-4.00	0.00	1.00	0.00	0.00	0.00	1.00	13.40	14.60	0.00	2.20	2.00	1.74	1.59	71.45
0.83	4.12	22.64	50.98	1100.00	8.00	55.41	0.00	17.00	-4.00	0.00	1.00	0.00	1.00	0.00	0.00	13.40	14.60	0.00	1.68	2.00	1.56	1.60	71.45
0.85	3.75	22.17	50.98	975.00	6.00	56.08	0.00	17.00	-4.00	0.00	1.00	0.00	1.00	0.00	0.00	13.40	14.60	0.00	1.78	2.00	1.93	1.65	71.45
0.87	3.87	18.41	50.98	950.00	8.00	56.08	0.00	16.00	-4.00	0.00	1.00	0.00	1.00	0.00	0.00	13.40	14.60	0.00	2.23	2.00	1.49	1.65	71.45
0.89	4.00	17.47	50.98	950.00	8.00	56.08	0.00	16.00	-4.00	0.00	1.00	0.00	1.00	0.00	0.00	13.40	14.60	0.00	2.45	2.00	1.70	1.63	71.45
0.91	4.00	16.06	50.98	950.00	8.00	56.08	0.00	16.00	-4.00	0.00	1.00	0.00	1.00	0.00	0.00	13.40	14.60	0.00	1.64	2.00	1.17	1.59	71.45
0.94	4.12	14.65	50.98	925.00	8.00	56.75	0.00	16.00	-4.00	0.00	1.00	0.00	1.00	0.00	0.00	13.40	14.60	0.00	1.61	2.00	1.41	1.57	71.44
0.96	4.00	15.59	50.59	925.00	6.00	56.75	0.00	16.00	-4.00	0.00	1.00	0.00	1.00	0.00	1.00	13.40	14.60	0.00	2.07	2.00	1.57	1.56	71.44
0.98	4.12	15.12	50.59	925.00	8.00	56.75	0.00	15.00	-4.00	0.00	1.00	0.00	1.00	0.00	0.00	13.40	14.60	0.00	1.48	1.00	1.68	1.56	71.44
1.00	4.12	15.12	50.59	925.00	6.00	56.75	0.00	15.00	-4.00	0.00	1.00	0.00	1.00	0.00	1.00	13.40	14.60	0.00	1.69	2.00	1.95	1.58	71.44
1.03	4.00	17.00	50.20	925.00	6.00	56.75	0.00	15.00	-4.00	0.00	1.00	0.00	1.00	0.00	0.00	13.40	14.60	0.00	1.43	1.00	1.84	1.60	71.44
1.05	4.12	15.12	50.20	925.00	6.00	57.42	0.00	15.00	-4.00	0.00	1.00	0.00	1.00	0.00	1.00	13.40	14.60	0.00	1.85	2.00	1.82	1.63	71.44
1.07	4.00	15.12	50.20	925.00	10.00	57.42	3.89	15.00	-4.00	0.00	1.00	0.00	0.00	0.00	1.00	13.40	14.60	0.00	2.05	2.00	1.58	1.64	71.44
1.09	5.62	21.70	50.20	1300.00	14.00	57.42	3.33	16.00	-4.00	0.00	1.00	0.00	0.00	0.00	0.00	13.40	14.60	0.00	2.36	2.00	1.76	1.66	71.43
1.11	5.37	22.17	50.20	1275.00	12.00	57.42	2.22	17.00	-4.00	0.00	1.00	0.00	1.00	0.00	1.00	13.40	14.60	0.00	1.66	2.00	1.68	1.66	71.43
1.14	3.75	28.75	50.20	1000.00	6.00	57.42	0.00	17.00	-4.00	0.00	1.00	0.00	1.00	0.00	1.00	13.40	14.60	0.00	1.59	2.00	1.87	1.67	71.43
1.16	3.75	22.64	50.20	975.00	6.00	58.09	0.00	18.00	-4.00	0.00	1.00	0.00	1.00	0.00	1.00	13.40	14.60	0.00	1.98	2.00	1.88	1.69	71.43
1.18	3.75	18.41	49.80	950.00	6.00	58.09	0.00	17.00	-4.00	0.00	1.00	0.00	1.00	0.00	0.00	13.40	14.60	0.00	0.00	0.00	1.53	1.66	71.43
1.20	4.00	14.65	49.80	975.00	6.00	58.09	0.00	15.00	-4.00	0.00	1.00	0.00	1.00	0.00	1.00	13.40	14.60	0.00	0.00	0.00	1.94	1.69	71.43
1.23	3.87	15.12	49.80	950.00	6.00	58.09	0.00	13.00	-4.00	0.00	1.00	0.00	1.00	0.00	0.00	13.40	14.60	0.00	0.00	0.00	2.26	1.73	71.42
1.25	4.12	22.64	49.80	825.00	6.00	58.09	0.00	6.00	-4.00	0.00	1.00	0.00	1.00	0.00	0.00	13.40	14.60	0.00	0.00	0.00	2.16	1.80	71.42
1.27	4.25	17.94	49.80	825.00	6.00	58.76	0.00	0.00	-4.00	0.00	1.00	0.00	1.00	0.00	0.00	13.40	14.70	0.00	0.00	0.00	1.90	1.83	71.42
1.29	4.37	15.59	49.80	825.00	6.00	58.76	0.00	0.00	-4.00	0.00	1.00	0.00	1.00	0.00	0.00	13.40	14.70	0.00	0.00	0.00	1.96	1.86	71.42
1.32	4.37	16.53	49.80	825.00	6.00	58.76	0.00	0.00	-4.00	0.00	1.00	0.00	1.00	0.00	0.00	13.40	14.70	0.00	0.00	0.00	1.94	1.87	71.42
